"","source","target","n"
"1","AEE","Caritas",10
"2","AEE","CIP",3
"3","AEE","CRS",5
"4","AEE","DAI",1
"5","AEE","FXB",8
"6","AEE","GC",2
"7","AEE","H+",2
"8","AEE","HSPH",1
"9","AEE","SFH",4
"10","AEE","SNV",2
"11","Caritas","CIP",4
"12","Caritas","CRS",4
"13","Caritas","DAI",1
"14","Caritas","FXB",8
"15","Caritas","GC",3
"16","Caritas","H+",3
"17","Caritas","HSPH",2
"18","Caritas","PSDAG",1
"19","Caritas","SFH",3
"20","Caritas","SNV",1
"21","CIP","CRS",3
"22","CIP","FXB",4
"23","CIP","GAIN",2
"24","CIP","H+",4
"25","CIP","PSDAG",4
"26","CRS","FXB",4
"27","CRS","GC",8
"28","CRS","H+",1
"29","CRS","HSPH",1
"30","CRS","SFH",1
"31","CRS","SNV",1
"32","DAI","FXB",1
"33","DAI","SFH",2
"34","FXB","GC",2
"35","FXB","H+",1
"36","FXB","HSPH",1
"37","FXB","PSDAG",1
"38","FXB","SFH",3
"39","FXB","SNV",2
"40","GAIN","H+",2
"41","GAIN","PSDAG",2
"42","GC","HSPH",3
"43","GC","SFH",2
"44","GC","SNV",2
"45","H+","PSDAG",3
"46","H+","SFH",2
"47","HSPH","SFH",1
"48","HSPH","SNV",1
"49","SFH","SNV",1
